Account,Day,Campaign,Ad group,Ad group state,Clicks,Impressions,CTR,Avg. CPC,Cost
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_Apparel_LTG000_oo_oo_S_A#11,LONG35_2,enabled,10,340,2.94%,0.39,3.94
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_Apparel_LTG000_oo_oo_S_A#11,LONG35_3,enabled,9,411,2.19%,0.29,2.62
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG25_4,enabled,36,1480,2.43%,0.45,16.03
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG35_1,enabled,162,3720,4.35%,0.42,67.93
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG35_3,enabled,110,2967,3.71%,0.42,46.01
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG25_3,enabled,3,311,0.96%,0.27,0.82
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG25_4,enabled,3,463,0.65%,0.15,0.45
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_Finance_LTG000_oo_oo_S_A#2,LONG25_1,enabled,75,2194,3.42%,0.33,24.82
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_FoodGroceries_LTG000_oo_oo_S_A#11,LONG25_1,enabled,18,1006,1.79%,0.27,4.79
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_FoodGroceries_LTG000_oo_oo_S_A#11,LONG25_2,enabled,15,668,2.25%,0.31,4.72
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_FoodGroceries_LTG000_oo_oo_S_A#11,LONG35_1,enabled,129,3174,4.06%,0.43,55.99
